Th,Tc,Tw,Th_in,Tc_in
352.8798847032827,351.40069926825583,351.85362826041967,331.7880222278407,312.9007972766965
354.09051189643424,349.0533872635539,349.7177471108659,331.7880222278407,312.9007972766965
347.37892691465447,344.2940265847957,349.3206239761204,331.7880222278407,312.9007972766965
345.3598888681359,346.1847122824857,346.5839024617664,331.7880222278407,312.9007972766965
344.74776610018927,342.55843080345716,345.3447229961004,331.7880222278407,312.9007972766965
339.7473958601434,341.9586219004429,344.4137828307113,331.7880222278407,312.9007972766965
342.3849838521743,339.8178380320827,342.17992936891966,331.7880222278407,312.9007972766965
341.00686735688384,335.1709240447312,340.0173214666763,343.27847264738045,311.9472842892877
336.5182925017888,335.65639544394134,338.68427337102236,343.27847264738045,311.9472842892877
339.7762075846535,335.6362239736337,338.1903335333351,343.27847264738045,311.9472842892877
339.5298516522892,338.62117522514677,337.95493458831714,343.27847264738045,311.9472842892877
337.63090466909335,333.94689737486266,337.2130785048254,343.27847264738045,311.9472842892877
338.141898496994,334.36633474785566,336.0766486701065,343.27847264738045,311.9472842892877
332.9305401567686,333.6268621195361,334.9375310058844,335.245221256612,306.14944870011345
333.63919539594997,333.0291023495412,332.6841208873949,335.245221256612,306.14944870011345
331.7357391180294,332.41285990999796,332.5216919799319,335.245221256612,306.14944870011345
331.69730236424806,330.1590025256726,330.8538576461404,335.245221256612,306.14944870011345
329.4222091270875,327.8365852170975,330.26515669229394,335.245221256612,306.14944870011345
330.5713779297464,328.4925255614417,329.87227546731594,335.245221256612,306.14944870011345
328.20711424756973,325.9583480182968,329.40761967707215,335.245221256612,306.14944870011345
329.033359302756,327.1153474006422,328.19585103687905,337.0620777445618,312.31811381464956
328.6318137517046,327.390800390279,327.6621496782816,337.0620777445618,312.31811381464956
330.07613111784616,331.3171315439906,327.1347457675294,337.0620777445618,312.31811381464956
330.0729534911875,326.7273544473979,326.795378255023,337.0620777445618,312.31811381464956
324.40971669930644,323.7657445338062,327.0154263161529,337.0620777445618,312.31811381464956
326.84707122176286,323.96970146788766,326.1927803079425,337.0620777445618,312.31811381464956
325.5373861506749,325.8660848891749,326.16118517201426,325.4113209538004,309.99345179961387
321.91824521816005,325.3794223711509,324.57969310039175,325.4113209538004,309.99345179961387
323.85257963426193,321.45325721581327,324.0949397719899,325.4113209538004,309.99345179961387
325.3075237510811,323.612528260263,323.3300167197571,325.4113209538004,309.99345179961387
324.2244500181322,323.4299713779426,323.3458926638217,325.4113209538004,309.99345179961387
323.3545864638664,322.56603354973674,322.8287289913034,325.4113209538004,309.99345179961387
322.5157888486067,321.5373210107505,321.584712837255,325.4113209538004,309.99345179961387
322.7433527551383,318.9490733127041,321.66896522600115,325.4113209538004,309.99345179961387
320.29117564676824,319.21248766838346,320.3767170131212,352.21401480563804,311.24651588553473
326.0504121180362,318.4426126032957,320.8698084169643,352.21401480563804,311.24651588553473
323.6141100899467,321.97550233368753,321.534643666581,352.21401480563804,311.24651588553473
325.42473990933405,320.56352587459276,321.7699520567201,352.21401480563804,311.24651588553473
324.46417775246766,320.896410175173,322.42307417810775,352.21401480563804,311.24651588553473
324.13889971785846,320.247157956748,322.16087001201885,352.21401480563804,311.24651588553473
327.18728694691254,320.34272953685775,321.98805584403914,352.21401480563804,311.24651588553473
325.45315109847223,321.52557544857234,321.8875963230833,352.21401480563804,311.24651588553473
325.51324353642894,323.1853539654985,322.5280763500558,352.21401480563804,311.24651588553473
326.17213514859395,322.69464373347705,323.9590278609537,352.21401480563804,311.24651588553473
325.33939793684704,322.64385278164053,322.8203387231869,352.21401480563804,311.24651588553473
321.4083101033582,320.20503747237325,322.87444457102026,352.21401480563804,311.24651588553473
325.2855263178182,322.9156061474356,321.775441432846,352.21401480563804,311.24651588553473
325.43016315813736,322.8550736412666,324.1669935811479,352.21401480563804,311.24651588553473
326.35650362720327,321.47792831864655,323.627250218174,352.21401480563804,311.24651588553473
323.8523365325092,320.78657359328133,323.1013582530957,352.7541312533387,293.61807178973294
324.2973739790174,319.42676006982896,323.3814684538946,352.7541312533387,293.61807178973294
326.1529656257098,323.0289706462145,322.63521471049137,352.7541312533387,293.61807178973294
325.6819911628121,320.48626221780864,323.0956190473677,352.7541312533387,293.61807178973294
324.26614699627675,319.0893335593604,322.26593964623873,352.7541312533387,293.61807178973294
325.0642180361365,318.1970380216233,322.14518225599414,352.7541312533387,293.61807178973294
327.1930960926788,317.57979263404854,322.2038481478755,352.7541312533387,293.61807178973294
321.98437846331376,319.6762300243875,322.99118126468164,352.7541312533387,293.61807178973294
323.7944553202984,320.5969314515148,320.8951897868291,352.7541312533387,293.61807178973294
322.69587592905896,322.76626453955595,322.03820243634175,348.9760320659728,311.17470774253604
