Th,Tc,Tw,Th_in,Tc_in
352.7919607150952,347.74011768711074,352.6035954576331,331.7880222278407,312.9007972766965
349.81369637072305,348.23432699475967,350.43144416349674,331.7880222278407,312.9007972766965
347.89928405458323,346.5477652211415,348.4986115782196,331.7880222278407,312.9007972766965
346.1745267355835,344.8322269325273,346.6793633667374,331.7880222278407,312.9007972766965
344.55440017323866,343.2073928781304,344.96423823671216,331.7880222278407,312.9007972766965
343.02752640043593,341.6752428941755,343.3474107732737,331.7880222278407,312.9007972766965
341.5881740565434,340.2308695093138,341.8232362890446,331.7880222278407,312.9007972766965
341.1463170167273,338.9036496604187,340.56772016142787,343.27847264738045,311.9472842892877
340.1403377300305,337.8293986427389,339.45633101752003,343.27847264738045,311.9472842892877
339.15686632974865,336.83806505619776,338.41216488653146,343.27847264738045,311.9472842892877
338.2273369664452,335.9050356946087,337.42771395538034,343.27847264738045,311.9472842892877
337.35096784536444,335.0255968298332,336.4996930131311,343.27847264738045,311.9472842892877
336.524817036984,334.1965619317257,335.6248553678958,343.27847264738045,311.9472842892877
335.05980020738684,332.90401347797217,334.5887385088015,335.245221256612,306.14944870011345
334.03907761209604,331.89511242891473,333.53037484635223,335.245221256612,306.14944870011345
333.0932660032951,330.9470774903464,332.52978063802203,335.245221256612,306.14944870011345
332.20245930613027,330.05320918928226,331.58650270990563,335.245221256612,306.14944870011345
331.36272441605234,329.21054539983504,330.6972818341846,335.245221256612,306.14944870011345
330.57111383626824,328.41617188071797,329.85902025065064,335.245221256612,306.14944870011345
329.82486840451384,327.6673217590931,329.06879721661966,335.245221256612,306.14944870011345
329.30972624321817,327.44138596164464,328.434828105463,337.0620777445618,312.31811381464956
328.78381445647494,326.9325092866636,327.8788653803806,337.0620777445618,312.31811381464956
328.2899995494299,326.43807276484023,327.3563026878589,337.0620777445618,312.31811381464956
327.8248585713654,325.97136488253824,326.86377670260237,337.0620777445618,312.31811381464956
327.38639345728456,325.5313724458705,326.399473626785,337.0620777445618,312.31811381464956
326.9730549970777,325.11659143771055,325.96177646558607,337.0620777445618,312.31811381464956
325.6318840015314,324.44273393027646,325.3217640203132,325.4113209538004,309.99345179961387
324.938387875422,323.79728038457944,324.62959450106007,325.4113209538004,309.99345179961387
324.31693240086804,323.1770423678608,323.973786276786,325.4113209538004,309.99345179961387
323.73274878110686,322.59102800168813,323.35529716898026,325.4113209538004,309.99345179961387
323.18214994711724,322.0385189341905,322.7722568871638,325.4113209538004,309.99345179961387
322.6631081830505,321.51766617567677,322.22262740442926,325.4113209538004,309.99345179961387
322.17381005173996,321.0266602355975,321.70449406134423,325.4113209538004,309.99345179961387
