Th,Tc,Tw
352.8798847032827,351.40069926825583,351.85362826041967
354.09051189643424,349.0533872635539,349.7177471108659
347.37892691465447,344.2940265847957,349.3206239761204
345.3598888681359,346.1847122824857,346.5839024617664
344.74776610018927,342.55843080345716,345.3447229961004
339.7473958601434,341.9586219004429,344.4137828307113
342.3849838521743,339.8178380320827,342.17992936891966
341.00686735688384,335.1709240447312,340.0173214666763
336.5182925017888,335.65639544394134,338.68427337102236
339.7762075846535,335.6362239736337,338.1903335333351
339.5298516522892,338.62117522514677,337.95493458831714
337.63090466909335,333.94689737486266,337.2130785048254
338.141898496994,334.36633474785566,336.0766486701065
332.9305401567686,333.6268621195361,334.9375310058844
333.63919539594997,333.0291023495412,332.6841208873949
331.7357391180294,332.41285990999796,332.5216919799319
331.69730236424806,330.1590025256726,330.8538576461404
329.4222091270875,327.8365852170975,330.26515669229394
330.5713779297464,328.4925255614417,329.87227546731594
328.20711424756973,325.9583480182968,329.40761967707215
329.033359302756,327.1153474006422,328.19585103687905
328.6318137517046,327.390800390279,327.6621496782816
330.07613111784616,331.3171315439906,327.1347457675294
330.0729534911875,326.7273544473979,326.795378255023
324.40971669930644,323.7657445338062,327.0154263161529
326.84707122176286,323.96970146788766,326.1927803079425
325.5373861506749,325.8660848891749,326.16118517201426
321.91824521816005,325.3794223711509,324.57969310039175
323.85257963426193,321.45325721581327,324.0949397719899
325.3075237510811,323.612528260263,323.3300167197571
324.2244500181322,323.4299713779426,323.3458926638217
323.3545864638664,322.56603354973674,322.8287289913034
322.5157888486067,321.5373210107505,321.584712837255
322.7433527551383,318.9490733127041,321.66896522600115
320.29117564676824,319.21248766838346,320.3767170131212
326.0504121180362,318.4426126032957,320.8698084169643
323.6141100899467,321.97550233368753,321.534643666581
325.42473990933405,320.56352587459276,321.7699520567201
324.46417775246766,320.896410175173,322.42307417810775
324.13889971785846,320.247157956748,322.16087001201885
327.18728694691254,320.34272953685775,321.98805584403914
325.45315109847223,321.52557544857234,321.8875963230833
325.51324353642894,323.1853539654985,322.5280763500558
326.17213514859395,322.69464373347705,323.9590278609537
325.33939793684704,322.64385278164053,322.8203387231869
321.4083101033582,320.20503747237325,322.87444457102026
325.2855263178182,322.9156061474356,321.775441432846
325.43016315813736,322.8550736412666,324.1669935811479
326.35650362720327,321.47792831864655,323.627250218174
323.8523365325092,320.78657359328133,323.1013582530957
324.2973739790174,319.42676006982896,323.3814684538946
326.1529656257098,323.0289706462145,322.63521471049137
325.6819911628121,320.48626221780864,323.0956190473677
324.26614699627675,319.0893335593604,322.26593964623873
325.0642180361365,318.1970380216233,322.14518225599414
327.1930960926788,317.57979263404854,322.2038481478755
321.98437846331376,319.6762300243875,322.99118126468164
323.7944553202984,320.5969314515148,320.8951897868291
322.69587592905896,322.76626453955595,322.03820243634175
323.89053374302256,320.50413937382376,320.9373665059383
325.85554059048803,319.6327989165432,322.85777301850254
325.84252933464967,320.8350844468099,322.8809792775706
324.5997353149333,319.20961939153915,323.0115883180062
324.54438154003253,318.57136226238,321.5217821576866
323.15378303554763,320.99611186185274,321.9310623131809
324.2450372260454,322.0493175145567,322.4847841334581
324.833344498455,323.3215116790435,323.0765100577843
326.32637902948665,323.36658509433056,322.0724627354592
324.47194858594565,322.52004073584044,321.92378347448937
325.76938197621297,321.25116536921684,322.45415794969887
325.38716088963827,318.7286349788629,323.0737947415996
325.2816073063221,324.4965596736447,322.1573018122998
324.62034242904457,322.8379645099768,322.7941164411891
323.8680288037017,326.6445249292443,323.81416245132147
323.4443692289827,321.55195898745023,322.9212861834803
325.6595850476974,322.5348761212349,321.753375430021
322.60381431561274,323.9000696354697,322.611156957462
322.04450823668446,318.33748871337036,323.4289482911305
325.2634831195732,321.3583705440784,321.2265746612182
325.6071361723298,318.6900541381486,323.34259917950106
326.2545514932275,320.18204151977676,322.0042627676936
326.64945158242824,319.2251295856882,323.45593950898694
327.3758197265041,322.60252361447607,322.98460696765744
326.6845989210181,321.1686697939772,323.61557127877
326.73370499551345,321.9476464291535,324.6596918119222
329.58289741656904,319.67036828176936,324.05545737799025
329.3655845989051,322.8539504713872,323.48429838355713
328.1799842214484,323.2373043653323,325.9407663258391
327.69332094810534,322.7914978510639,325.21729221660087
325.4964747098189,324.28968211106235,325.43388034800853
328.89616787847297,323.36446892897646,325.2573081538139
325.6759762602078,326.45431090690823,325.5329305555321
327.2369927128046,324.0683664549112,324.6028782095326
325.4165094914773,323.1327338859742,324.1391670869814
325.8061368188378,322.15324842466356,325.64692494450253
325.71115498521266,323.13578246958383,323.9892558203831
326.13360577965415,324.80523685433286,323.21095023775587
327.45325819911744,322.8666767906932,324.24484651988695
325.05144486148447,323.2031453787535,323.38483556387484
327.24927879929425,321.7120017852921,323.06274649889906
323.5409761740006,320.47188538593923,322.78659170398146
324.16106419995447,322.0017695784502,322.99919846038705
325.9275379757326,322.4736026107008,323.996275010561
326.47859539732417,322.65251251731974,323.579191020577
327.91086435330214,320.50645701425145,323.2217709401427
324.9704523778116,323.49466877344946,324.1410101831089
324.829670364507,320.99751770317727,322.4758797350361
323.0490841172389,323.3344565162054,323.83662781384083
328.2074918021215,321.01305934590863,322.25044804054284
326.23262292271744,321.51638054533583,322.7256192678575
327.13864533318986,320.6962469801776,323.02827119647947
325.67830801193566,322.3094587191991,321.7293035024821
328.9854067363846,319.2402036504985,324.32189202805574
323.4524180509101,321.3645535942214,323.07628599103754
322.79523629154846,318.6076865161764,321.9352276664925
322.8420779274721,323.37430529576716,322.60479356846173
321.3140074383651,321.26277819982687,322.022332656695
324.0043732885279,320.4701058743457,321.98174134546053
322.5920977372547,320.43375969208495,321.37669546553997
318.30607946621404,319.8883744121243,320.55926097886163
323.56313603789033,321.6039020992829,321.6151378272892
321.628825999637,319.17004401891387,319.7225361048583
323.3809565525895,317.1713429811166,321.25595904832363
322.2140581961004,316.5310631316054,319.1506609510179
325.9399695937186,321.98529932296515,319.32061466115476
325.52926938433126,316.89508083555955,321.015240972455
323.3611771399602,318.3724638897295,319.5554802802764
324.45238184960215,322.0770535499028,322.18418498243676
324.6208917625289,320.84451489255457,323.07715778123327
326.55316216139653,319.709411655074,321.99456076957057
328.1300367204632,317.9579839907725,322.896601813132
322.68886172337204,318.89138497898864,321.9841513751183
329.0629579991161,320.82234691293144,322.73897014536675
323.8622225070907,319.51948589956817,323.96611783025264
325.62992483924086,322.0213916844719,322.81895246194244
325.29743215812954,319.07597869465627,323.1747125735992
326.77547923148796,322.86812164755,323.82444966914505
329.336838514529,320.95303041587624,323.65596950395945
326.61340319407697,319.8487940056289,323.7393073251129
329.00922813869664,320.70807534912956,322.62258485474996
325.790977113278,322.86679947363683,323.55491870002567
326.53858750185225,320.26574800449424,322.84943825456344
326.96572033112034,321.5657803391411,323.8259404462087
325.78277960149126,323.6311328702694,323.6430064746978
327.2760855459195,322.44976493141723,324.3351379772228
328.735819799341,319.0740984614047,322.66274828187505
328.16104319058053,322.81370262675347,324.3293286290127
327.69137192101084,324.19866722988326,324.79442216237294
324.0811297559127,320.4799207500178,324.60660655086093
323.0473105691316,322.13323724706294,323.48610406544213
326.46173173575494,320.8613207546445,322.8152933397143
324.84858065503556,321.9800289931294,323.3080438946911
324.9016488722676,320.8507130493,322.1650055009051
323.8115891808465,321.78559134763134,322.435664211215
321.43274065983786,323.11296160805006,323.11948136530043
322.9339932778584,320.6651985854442,322.6605411850203
321.8409687215827,316.8111793068756,322.75259937007786
324.3682588565874,321.8273301521544,321.489217559593
319.6257513023234,322.6979041499905,320.94587057937065
319.09250211383113,317.66580991700033,321.45674783341605
319.09787002935076,317.6118504462468,318.7094444130148
317.95721636384764,316.9407611846857,318.22732580539537
321.3736177227479,314.6771476108656,317.8930998021346
319.6311320440622,316.85117412142415,317.65934602610014
319.88662502160275,313.6035889300121,316.78203763151714
320.2515536810173,313.37178571716333,316.67460919390555
322.1895960531095,315.9950344610849,316.3106375596852
316.77212962603886,314.4867919230018,316.2036361172413
317.67406791348367,314.55932330817564,317.53403017774053
318.1265429323844,313.8175941797232,316.3390896403153
316.4775326966599,315.2346398115463,316.6621051916072
323.5926634100205,313.9520484062547,318.09592343415494
322.55727836793284,318.5442544651119,317.9153164368717
319.8307233618701,314.2522594656435,317.49627894969444
321.7236277128814,315.87281448842833,318.5649725095024
324.52477464065277,317.4232580534186,318.4554304833662
321.9004577265912,319.87564628933217,318.1667732912985
320.9111800795634,317.73077484616283,318.9904031308522
317.7800867830542,319.0340439572721,319.1438944924645
320.72914736494045,319.9875773096142,318.7482150454878
322.60673744898287,317.31888033055657,318.86353940258255
323.2082596011447,317.9694075819545,318.73806939238364
322.5455717495945,319.0959398634549,319.4695536496775
322.74513526794965,318.00543988183256,319.06754052907
324.95405301607116,318.6355936537971,318.6716674243916
320.7639550751599,316.2067315023984,318.47897299497276
319.43215129297016,317.7627890676062,319.0275146880115
323.9137223980443,315.84153595673257,319.0243454073559
320.73348189419477,316.8940743242966,319.2682550500318
322.94822128752656,317.52480859451686,318.66351678935894
321.8622165193053,319.4040848015439,317.5998097766725
320.905423467165,319.98219346229615,318.08127537225334
325.72749066758274,320.216879302555,319.9190935626804
321.26963156461534,315.09685173465255,318.6136366461682
318.7439365236916,316.8691223048876,318.9140871497707
322.2782565218528,314.3681786361756,318.25262183361934
320.5012080170391,316.7499229903587,317.8257919000907
321.59462194969814,317.9893859769017,318.1971583908133
323.03726490139303,316.50951008310636,319.3326726668947
322.8742944120529,316.29648911204805,319.52635225409637
317.96256236255533,317.4309079475307,319.59015727364533
322.13867497600006,316.067639474242,318.30216661120505
320.83444637948776,315.43509020211957,320.23363643753345
325.6677139263635,318.61366188873143,319.2407026690042
322.85845567445375,317.1986442072108,319.19046596014346
325.18711889654594,318.6506917447292,319.45808919976923
321.30215584846997,316.22409631711287,318.3101635776979
322.8313336564011,314.1531249318898,319.53202735617396
320.9967784853167,318.32990789320735,317.45246150218543
318.40351656465884,317.4879554120828,317.9033420451182
321.4895312894883,316.8995907563647,318.7427059220978
320.98743162031303,318.21560753873104,318.2866303117407
318.5006379341676,317.1525272468561,318.52834829955646
319.12065886280766,318.71536023101834,318.12418539834357
318.5500721965823,317.6211556726602,316.44183919475716
319.31486371617814,317.270028355739,315.84140868426533
318.57229471013727,315.8422705729021,317.62158615327354
321.6036583192797,315.45328144624233,317.12891025034094
316.32449173811784,315.59833054409245,316.7676314177601
320.0804207812667,311.9257200226677,317.0221966831624
323.1877788003276,315.01718254893586,316.853406598934
319.9682667790424,315.5784491578406,317.2147586862242
321.2148009825207,314.92367250316744,317.72974353689153
321.11508554564915,313.9688365053781,318.10273700456156
322.3165226559995,315.1136791014716,318.9276070029495
317.24287777687897,315.6725363681063,317.71982794408717
320.3106174940908,316.379968685078,317.536534394625
319.71471559043846,313.7472567713095,316.75588740771616
